ITEM_20150317_000001	Empty_helmet
ITEM_20150317_000002	Murmillo Helmet
ITEM_20150317_000003	Empty_armband
ITEM_20150317_000004	Red Armband
ITEM_20150317_000005	Armband
ITEM_20150317_000006	Knotted Armband
ITEM_20150317_000007	Long Armband
ITEM_20150317_000008	Feather Armband
ITEM_20150317_000009	Tasseled Armband
ITEM_20150317_000010	Empty_weapon
ITEM_20150317_000011	Crude Gladius
ITEM_20150317_000012	One-handed Sword [Slash]
ITEM_20150317_000013	A standard weapon for the soldiers from the Royal Army. Also commonly carried by civilians.
ITEM_20150317_000014	Gladius
ITEM_20150317_000015	This weapon is an improved version of its military counterpart.
ITEM_20150317_000016	Low Falchion
ITEM_20150317_000017	This sword is exceptional for slashing.
ITEM_20150317_000018	Low Kaskara
ITEM_20150317_000019	Due to its ease in manufacturing, this sword is frequently chosen by adventurers as their first replacement for their training sword.
ITEM_20150317_000020	Cinquedea
ITEM_20150317_000021	Recommended for those who desire a heavier and stronger sword.
ITEM_20150317_000022	Sabre
ITEM_20150317_000023	Primary weapon of the cavalry, optimized for slashing. The guard on the hilt helps protect the user's hand.
ITEM_20150317_000024	Shamshir
ITEM_20150317_000025	The blade's large crescent edge cuts with immense power.
ITEM_20150317_000026	Scimitar
ITEM_20150317_000027	Its heavy weight is compensated by its very powerful slash.
ITEM_20150317_000028	Kris
ITEM_20150317_000029	Its twisted edge amplifies the damage it inflicts. A sword that is both practical and ornamental.
ITEM_20150317_000030	Snickersnee
ITEM_20150317_000031	Its extremely sharp blade makes it a favorite among even the most experienced swordsmen.
ITEM_20150317_000032	Crude Shamshir
ITEM_20150317_000033	Crude Scimitar
ITEM_20150317_000034	Soldier's Gladius
ITEM_20150317_000035	A basic armament provided to full-time soldiers. Its overall quality is better than those sold in the market.
ITEM_20150317_000036	Mayor's Falchion
ITEM_20150317_000037	Looking at this weapon raises suspicions on its previous owner's past.
ITEM_20150317_000038	Crude Kaskara
ITEM_20150317_000039	Moplah
ITEM_20150317_000040	This sword combines both practicality and aesthetics.
ITEM_20150317_000041	Heavy Gladius
ITEM_20150317_000042	Falchion
ITEM_20150317_000043	Heavy Falchion
ITEM_20150317_000044	Kaskara
ITEM_20150317_000045	Heavy Chinqueda
ITEM_20150317_000046	Heavy Sabre
ITEM_20150317_000047	Heavy Shamshir
ITEM_20150317_000048	Dunkel Sabre
ITEM_20150317_000049	Dunkel Snickersnee
ITEM_20150317_000050	Dunkel Falchion
ITEM_20150317_000051	Dunkel Kaskara
ITEM_20150317_000052	Dunkel Cinquedea
ITEM_20150317_000053	Dunkel Shamshir
ITEM_20150317_000054	Kozuka
ITEM_20150317_000055	No tooltip available
ITEM_20150317_000056	Badelaire
ITEM_20150317_000057	Saif
ITEM_20150317_000058	Colichemarde
ITEM_20150317_000059	Firangi
ITEM_20150317_000060	Thorn Cutter
ITEM_20150317_000061	Demion Sword
ITEM_20150317_000062	Master Sword
ITEM_20150317_000063	Panto Sword
ITEM_20150317_000064	A crude sword used by the Panto. You could craft a better version yourself.
ITEM_20150317_000065	Flonas Sabre
ITEM_20150317_000066	Some say this weapon unleashes the grudge that plants hold against beasts.
ITEM_20150317_000067	Golden Falchion
ITEM_20150317_000068	Possibly due to gold's correlation with fortune, the Golden Falchion bestows its wielder with good luck during battle. Of course, it severely harms its foes.
ITEM_20150317_000069	Steel Falchion
ITEM_20150317_000070	The Steel Falchion is a good choice for those pursuing precision in their swordsmanship.
ITEM_20150317_000071	Silver Falchion
ITEM_20150317_000072	Its light weight and sturdiness allows the swordsman to unleash his full potential during an attack.
ITEM_20150317_000073	Mandrapick
ITEM_20150317_000074	This sword is said to clear its wielder's mind with its Mandragora essence.
ITEM_20150317_000075	Wizard Blade
ITEM_20150317_000076	You should never ridicule a wizard for wielding a sword, especially if that sword is the Wizard Blade.
ITEM_20150317_000077	Cheminis Sword
ITEM_20150317_000078	This sword is made from a recipe developed by an alchemist from the Winterspoon family, who claimed that he could make a better sword than a blacksmith.
ITEM_20150317_000079	Austas
ITEM_20150317_000080	This sword is worthy of its steep price. However, merchants would prefer that you return to buy other weapons than continue using it for a long time.
ITEM_20150317_000081	Miskas Sabre
ITEM_20150317_000082	This weapon will make your swordsmanship swifter.
ITEM_20150317_000083	Imperni Sword
ITEM_20150317_000084	Veterans will often recount the thrill they experienced when advancing from a novice and first holding this sword.
ITEM_20150317_000085	Gritas
ITEM_20150317_000086	A sword used by valiant adventurers. Ironically, it is often found on strong monsters. A person who obtains this sword is unknowingly exacting revenge for its previous owner.
ITEM_20150317_000087	Spatha
ITEM_20150317_000088	An improved version of the Gladius made by extending the blade length.
ITEM_20150317_000089	Aras' Falchion
ITEM_20150317_000090	This weapon gives you the opportunity to experience the capabilities of a Falchion.
ITEM_20150317_000091	Smith Sword
ITEM_20150317_000092	 - 2% chance to inflict an additional 600% damage
ITEM_20150317_000093	This sword occasionally gleams with the craftsmanship of its creator.
ITEM_20150317_000094	Klavis Sword
ITEM_20150317_000095	Despite its quality, it sells relatively well.
ITEM_20150317_000096	Dio Sword
ITEM_20150317_000097	Thresh Sword
ITEM_20150317_000098	Sestas Sword
ITEM_20150317_000099	Dratt Sword
ITEM_20150317_000100	Aston Sword
ITEM_20150317_000101	Devi Sword
ITEM_20150317_000102	Prima Sword
ITEM_20150317_000103	Trinity Sword
ITEM_20150317_000104	If you're unsatisfied with one type of Falchion, this is an alternative. However, you'll have to bear the extra cost for its crafting.
ITEM_20150317_000105	Durandal
ITEM_20150317_000106	Many adventurers name their best sword after this weapon. This was the name of the sword wielded by an ancient warrior chosen by a goddess.
ITEM_20150317_000107	Velniup
ITEM_20150317_000108	People will even go so far as to say that this weapon is overly cruel.
ITEM_20150317_000109	Fortis
ITEM_20150317_000110	While unpopular during the Great Plant Cataclysm, the resurgence of strongly armored monsters is proving its value.
ITEM_20150317_000111	Chapparition Cutter
ITEM_20150317_000112	According to a theory, this sword is also used in conflicts amongst the demons.
ITEM_20150317_000113	Deathweaver Cutter
ITEM_20150317_000114	One becomes the deathbringer by wielding this blade.
ITEM_20150317_000115	Chapparition Sword
ITEM_20150317_000116	This serves as indirect evidence for the disputes between demons.
ITEM_20150317_000117	Bendras Sword
ITEM_20150317_000118	A sword carrying the might of a goddess that has smited many evils in the past.
ITEM_20150317_000119	Illizia
ITEM_20150317_000120	This blade severely threatens both the life of its foe and the owner's finances. Of course, most swordsmen ignore the latter effect.
ITEM_20150317_000121	Scheduled for deletion
ITEM_20150317_000122	Two-handed Sword [Slash]
ITEM_20150317_000123	Dunkel Bastard Sword
ITEM_20150317_000124	Some master craftsman and soldiers call this a 'mixed style two-handed sword.' They say this to justify themselves.
ITEM_20150317_000125	Flamberge
ITEM_20150317_000126	If you're an expert in two-handed weapons, the wave shaped edge can cause massive damage.
ITEM_20150317_000127	Nodachi
ITEM_20150317_000128	A Nodachi with a length 'just right' can amplify its slashing power and dominate the space between the wielder and their foe.
ITEM_20150317_000129	Claymore
ITEM_20150317_000130	Claymores of this kingdom are made with an emphasis in weight and power.
ITEM_20150317_000131	Colossus
ITEM_20150317_000132	The unusual fan-shaped blade offers potential to amplify its power and versatility to be adapted in many techniques.
ITEM_20150317_000133	Caliburn
ITEM_20150317_000134	Frequently carried by high ranking soldiers.
ITEM_20150317_000135	Quaddara
ITEM_20150317_000136	Contrary to its appearance, this sword is double-edged and often used by swordsmen pursuing practicality.
ITEM_20150317_000137	Light Claymore
ITEM_20150317_000138	The structure of this sword allows its user to perform a stabbing attack.
ITEM_20150317_000139	Crude Colossus
ITEM_20150317_000140	Ilwoon
ITEM_20150317_000141	The Great Ruklys carried this sword in his early days.
ITEM_20150317_000142	Practice Bastard Sword
