QUEST_20150317_000001	$Please select the user requiring a quest update.
QUEST_20150317_000002	$Statue of Goddess Vakarine
QUEST_20150317_000003	$Please select a territory.
QUEST_20150317_000004	$Select
QUEST_20150317_000005	$Please select an item.
QUEST_20150317_000006	$Select Group
QUEST_20150317_000007	$Please select a cheat start group.
QUEST_20150317_000008	$Select Zone
QUEST_20150317_000009	$Please select a starting zone.
QUEST_20150317_000010	$Select Advancement
QUEST_20150317_000011	$Please select a class.
QUEST_20150317_000012	$Bokor Master
QUEST_20150317_000013	$So you are curious about this stone slate. {nl}If you wish, I shall show you the will of its creator.
QUEST_20150317_000014	$Goddess Laima
QUEST_20150317_000015	$By the time you get this message, much time will have passed. {nl}I am Laima, the goddess of fate and wisdom.
QUEST_20150317_000016	$600 years ago while creating this revelation, I foresaw a great deal of death and suffering. {nl}If you're seeing this, then I'm afraid what I foresaw has come to pass.
QUEST_20150317_000017	$The demons have started the first of cataclysms, and the goddesses have vanished. {nl}I knew all of this would occur and did everything I could to prevent this fate, but my power was not enough.
QUEST_20150317_000018	$Instead, I wandered through far-seeing dreams for an answer. {nl}You were at the end of them... a Savior.
QUEST_20150317_000019	$Unfortunately, the demons could not stay still, knowing that I possess strength in clairvoyance. {nl}I was forced to hide until the time of your appearance.
QUEST_20150317_000020	$I decided to divide my being and remain within many revelations. {nl} Revelations that I continued to create secretly over a millennium.
QUEST_20150317_000021	$Savior, if you can help me regain my form, we can stop the demons' sinister plans.{nl}You must recover the revelations that I have hidden throughout every axes of time.
QUEST_20150317_000022	$This divine task may be a heavy burden, but it is something you must bear. {nl}Perhaps in the muddy midst of your trials and tribulations, something may come about.
QUEST_20150317_000023	$Nevertheless, only we can save this world.
QUEST_20150317_000024	$I've passed the next revelation to the first Paladin. {nl}He will be waiting for you at the highest flower garden.
QUEST_20150317_000025	{memo X}The dark aura is indeed unpleasant... {nl}But if this message is truly from the Goddess Laima, then I am simply in awe.
QUEST_20150317_000026	{memo X}Well, you should hurry and go find Sir Uska. {nl}He will tell you where to go next. {nl}May the goddess bless your fate...
QUEST_20150317_000027	$Please select the preferred Smart Gen.
QUEST_20150317_000028	$William
QUEST_20150317_000029	{memo X}The fee's 100 silver. {nl}It's cheaper than cutting through monster central.
QUEST_20150317_000030	$Cyneburg
QUEST_20150317_000031	{memo X}That'll be 100 silver coins. {nl}That'll cover operations, labor, and other expenses.
QUEST_20150317_000032	{memo X}Hey, wait a minute. {nl}You know you need more than that...
QUEST_20150317_000033	{memo X}That's no good! {nl}I can't work for nothing, even for a Revelator.
QUEST_20150317_000034	$Wandering Merchant
QUEST_20150317_000035	$Like a dandelion's seeds, I am merely one who follows the wind. {nl}Since we've met in such a curious way, perhaps you could spare a moment to view my curiosities?
QUEST_20150317_000036	$Kristina
QUEST_20150317_000037	$Welcome! {nl}You're looking for a travel companion, right? {nl}You won't find a better place for partners than here!
QUEST_20150317_000038	{memo X}You can make your companions watch you fight or train special attributes. {nl}Earn enough affection, and you can even buy some cool equipment!
QUEST_20150317_000039	{memo X}Raising your companion's affection will increase riding stamina and evasion! {nl}So what do you think? Is that enough to make you consider one?
QUEST_20150317_000040	{memo X}The box requires a matching key.
QUEST_20150317_000041	$Select Quest
QUEST_20150317_000042	$Modify Quest Status
QUEST_20150317_000043	$Force start?
QUEST_20150317_000044	$Items to be deleted
QUEST_20150317_000045	$Select GenType
QUEST_20150317_000046	$Select Coordinates
QUEST_20150317_000047	$Knight Titas
QUEST_20150317_000048	$If so, go see Knight Commander Uska in Klaipeda. {nl}But first, there's something important I need to talk to you about, so follow me.
QUEST_20150317_000049	$It would be nice if I could find a moment to relax...
QUEST_20150317_000050	$Sparnas... {nl}is not someone to take lightly...
QUEST_20150317_000051	$Soldier Moody
QUEST_20150317_000052	$Let's deal with this monster before talking.
QUEST_20150317_000053	$Joint Investigation Team - Scott
QUEST_20150317_000054	$I long for a time when our team is no longer needed... {nl}What a peaceful age that would be...
QUEST_20150317_000055	$I don't know where to start. {nl}Have you heard anything?
QUEST_20150317_000056	$By royal orders, we've come to this forest to investigate some strange events. {nl}Witnesses have reported something with a big face and bony fingers. {nl}What in the world could that be?
QUEST_20150317_000057	$In the past, pilgrims traveled through this forest. {nl}But now due to the presence of monsters, only soldiers gather here.
QUEST_20150317_000058	$Up until four years ago, the goddesses often blessed us with signs of their presence. {nl}But now, even our combined prayers don't bring so much as a tremor. {nl}Have they truly abandoned us?
QUEST_20150317_000059	$Vacenin personally goes to each region to deal with things. {nl}He gets uncomfortable when he stays in the city.
QUEST_20150317_000060	$Do you plan on staying or enlisting? {nl}If you're interested, I'll gladly recommend you to the head commanders.
QUEST_20150317_000061	$Don't let your guard down. Monsters can appear any time, anywhere.
QUEST_20150317_000062	$Where in the world did Goddess Zemyna go...
QUEST_20150317_000063	$What in the world do you call this?
QUEST_20150317_000064	$I think Zemyna, the goddess of the earth would grieve more than anyone else.
