QUEST_LV_0100_20150317_000001	Sentinel
QUEST_LV_0100_20150317_000002	You better go directly via Shadow Forest Road if you want to go to Klaipeda.{nl}The deep woods are dangerous, so try to stay away if you can.
QUEST_LV_0100_20150317_000003	Man in hiding
QUEST_LV_0100_20150317_000004	Fi... Finally! Has help arrived?{nl}What, it's just a kid? Hey... Are there still Vubbes outside?
QUEST_LV_0100_20150317_000005	Ugh. Go away! Do not talk to me! We'll get caught by the Vubbes!{nl}This is my place so get out of here!
QUEST_LV_0100_20150317_000006	What? Do not lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do not come near this barrel!
QUEST_LV_0100_20150317_000007	Fi... Finally! Has help arrived?{nl}What, it's just a kid? What are you looking at? Close the lid and just go away!{nl}
QUEST_LV_0100_20150317_000008	What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!
QUEST_LV_0100_20150317_000009	This paper, it's mine! I'm never giving it away again!!{nl}It's.. not something you need - I'll just rip it apart. There.
QUEST_LV_0100_20150317_000010	Sheesh, that's lame...
QUEST_LV_0100_20150317_000011	This is the first sign after all the goddesses disappeared.{nl}Maybe one of these people will be the one to bring the goddesses back.
QUEST_LV_0100_20150317_000012	Soldier Blag
QUEST_LV_0100_20150317_000013	Be warned!{nl}Monsters are attacking, so all citizens must evacuate!{nl}By the way, how come those citizens are in the military zone?{nl}
QUEST_LV_0100_20150317_000014	Ah, so you are the Revelator! I'm sorry, I didn't recognize you.{nl}Monsters are attacking the supply base at the moment.{nl}I need to take some important rations out from the base. Please help me!
QUEST_LV_0100_20150317_000015	It was quiet not too long ago, but now they are coming in groups.{nl}What is happening?
QUEST_LV_0100_20150317_000016	I felt unsafe...{nl}But, I didn't expect they would be coming en masse.
QUEST_LV_0100_20150317_000017	You'll see the 1st supply warehouse as you head up the road.{nl}Please bring some of the remaining supplies.
QUEST_LV_0100_20150317_000018	I wrote down who Sparnas is, in case you need it in the future.{nl}You may not know, but I was a biologist four years ago.
QUEST_LV_0100_20150317_000019	Please pass this report to Luders.{nl}He is probably at the central supply base.
QUEST_LV_0100_20150317_000020	Officer Luders
QUEST_LV_0100_20150317_000021	Ah, you must be the so called Revelator. Nice to meet you.{nl}Is this Blag's report?{nl}
QUEST_LV_0100_20150317_000022	Hmm... Is that so?{nl}They just destroyed the supplies and ran away. Even if Chupacabras have wings, I am sure they can't do something like this.{nl}
QUEST_LV_0100_20150317_000023	It is little less.{nl}I am sorry, but please bring us Moody's report from the crooked roat in Amzina.
QUEST_LV_0100_20150317_000024	I feel safe since Luders is here.
QUEST_LV_0100_20150317_000025	Soldier York
QUEST_LV_0100_20150317_000026	Siaulambs are breaking the norms.{nl}I am in a panic myself, so I don't know what to do.{nl}Luders will not stand for this... What should we do?
QUEST_LV_0100_20150317_000027	Do you think the problem would be resolved by just defeating Sparnas?
QUEST_LV_0100_20150317_000028	Thanks to your help, I think I can get myself together.{nl}But... this kind of thing will happen again right? Then what should I do...?
QUEST_LV_0100_20150317_000029	Sparnas? We don't have an answer for that.{nl}It just appears from the sky without any signs, destroys all supplies and then dissappears.{nl}I get a headache just hearing its cries.
QUEST_LV_0100_20150317_000030	The place I just talked about is the 2nd supply warehouse.{nl}It is depressing to think how these kinds of things will be recurring in the future.
QUEST_LV_0100_20150317_000031	Take it. I made some bait from old grains in the supplies.{nl}I will lure him up there, so you stay here.{nl}Sparnas will definitely appear at one of these two places. Do not miss it, and destroy it for sure.{nl}
QUEST_LV_0100_20150317_000032	We may not get a second chance if we don't defeat it this time.{nl}They're not idiots.
QUEST_LV_0100_20150317_000033	I heard the sound of fighting so I came in a hurry. Have you defeated it?{nl}I only spotted Siaulambs.{nl}Well done. You have performed a meritorious deed.
QUEST_LV_0100_20150317_000034	Adjutant Paulina
QUEST_LV_0100_20150317_000035	We should recover the stolen items.{nl}They can't say they are the soldiers of the kingdom if they just get attacked.
QUEST_LV_0100_20150317_000036	We should recover the stolen items.{nl}We can't call ourselves soldiers if we just do nothing.{nl}
QUEST_LV_0100_20150317_000037	I feel so upset having to endure this all the time.{nl}Reinforcements should be coming soon, but what can we expect from such an imcompetent kingdom?
QUEST_LV_0100_20150317_000038	Adjutant Volda
QUEST_LV_0100_20150317_000039	Thank you very much, but you must be late for other things.{nl}Besides we can't just sit here and wait. We plan to keep attacking.
QUEST_LV_0100_20150317_000040	Secret Guardian
QUEST_LV_0100_20150317_000041	The goddess already foretold this.{nl}No beings can escape from her vision.
QUEST_LV_0100_20150317_000042	Liaison Officer Niels
QUEST_LV_0100_20150317_000043	Hello.{nl}Have you seen an old man who lost his way?{nl}His name is Jonas.{nl}
QUEST_LV_0100_20150317_000044	You haven't seen him?{nl}Where is he now then..? He is old and weak.
QUEST_LV_0100_20150317_000045	Jonas is a descendant of the family that has been protecting this Mausoleum.{nl}He is a very important person to our lab team so please take good care of him.
QUEST_LV_0100_20150317_000046	Archivist Jonas
QUEST_LV_0100_20150317_000047	Our family has been waiting for you for a long time.{nl}Now is the time to give you the thing that we have been protecting for a long time.
QUEST_LV_0100_20150317_000048	It is good to hear that Jonas has regained his conciousness.{nl}You are the person who lifted the light signal, right?{nl}
QUEST_LV_0100_20150317_000049	Ahylas came after seeing the light.{nl}Meet him downstairs.
QUEST_LV_0100_20150317_000050	We haven't heard any news from Kepeck for a long time after we sent him supplies.{nl}We don't have enough people to form a search team, so please help us find him.
QUEST_LV_0100_20150317_000051	Historian Beard
QUEST_LV_0100_20150317_000052	Always be prepared for monster attacks.{nl}Especially in places like here.
QUEST_LV_0100_20150317_000053	Mercenary Mirta
QUEST_LV_0100_20150317_000054	Didn't I already warn you?{nl}Please be careful next time.
QUEST_LV_0100_20150317_000055	Historian Kepeck
QUEST_LV_0100_20150317_000056	Niels must have sent you.{nl}Well, if you are in a hurry, record it yourself and take it back to Niels.
QUEST_LV_0100_20150317_000057	When you go straight on the right road and cross the bridge, you will see the artifacts of the great King Zachariel.{nl}Record them and take the recordings to Niels. He will understand.
