QUEST_LV_0100_20150317_000001	$Sentinel
QUEST_LV_0100_20150317_000002	$If you choose to go to Klaipeda, I recommend taking the Shadow Forest Road.{nl}The deep woods are dangerous, so try to stay away from there if you can.
QUEST_LV_0100_20150317_000003	$Man in Hiding
QUEST_LV_0100_20150317_000004	$Fi... Finally! Has help arrived?{nl}Huh?! It's just a kid? Hey... Are there still Vubbes outside?
QUEST_LV_0100_20150317_000005	$Ugh. Go away! Don't talk to me! We'll get caught by the Vubbes!{nl}This is my place so leave!
QUEST_LV_0100_20150317_000006	$What? Don't lie to me! I can smell the Vubbes from here.{nl}You can't fool an adult! Go away! Do not come near this barrel!
QUEST_LV_0100_20150317_000007	$Fi... Finally! Has help arrived?{nl}Huh?! It's just a kid? What are you looking at? Close the lid and move along!{nl}
QUEST_LV_0100_20150317_000008	$What's that paper you're holding? It looks familiar...{nl}Let me see that! What are you doing? Hey, there's an adult speaking to you!
QUEST_LV_0100_20150317_000009	$This paper, it's mine! I'm never giving it away again!!{nl}It's... not something you need - I'll just rip it apart. There.
QUEST_LV_0100_20150317_000010	$Sheesh, that's lame...
QUEST_LV_0100_20150317_000011	$After all the goddesses had vanished, these dreams were one of the first things that came up.{nl}Maybe one of these people will be the one who brings the goddesses back.
QUEST_LV_0100_20150317_000012	$Soldier Blak
QUEST_LV_0100_20150317_000013	$Be warned!{nl}Monsters are attacking, so all civilians must evacuate!{nl}Why are those civilians in the military zone anyway?{nl}
QUEST_LV_0100_20150317_000014	$Ah, so you are the Revelator! I'm sorry, I didn't recognize you.{nl}Monsters are attacking the supply base at the moment.{nl}I need to get some important rations out from the base. Please help me!
QUEST_LV_0100_20150317_000015	$It was peaceful not too long ago, but now they are coming in groups.{nl}What's happening exactly?
QUEST_LV_0100_20150317_000016	$Even so, I felt uneasy...{nl}Who knew that they'd attack in such an absurd manner?
QUEST_LV_0100_20150317_000017	$The rations are in the First Supply Warehouse, which you can get to using the road {nl}on the upper side. Please bring whatever back leftovers you find... 
QUEST_LV_0100_20150317_000018	$I wrote down who Sparnas is. Maybe it will be useful in the future.{nl}Though I may not appear so right now, I was a biologist four years ago.
QUEST_LV_0100_20150317_000019	$Please pass this report to Luders.{nl}He is probably at the Center Supply Camp.
QUEST_LV_0100_20150317_000020	$Officer Luders
QUEST_LV_0100_20150317_000021	$Ah, you must be the so called Revelator. Nice to meet you.{nl}Is this Block's report?{nl}
QUEST_LV_0100_20150317_000022	$Hmm... Is that so?{nl}It appears they simply destroyed the supplies and ran away. But even if Chupacabras had wings, {nl}I am sure they can't do something like that.{nl}
QUEST_LV_0100_20150317_000023	$This isn't enough.{nl}I am sorry, but please bring us Moody's report from Amzina Curved Path.
QUEST_LV_0100_20150317_000024	$I feel better since Luders is here.
QUEST_LV_0100_20150317_000025	$Soldier York
QUEST_LV_0100_20150317_000026	$The Siaulambs are crossing the road. I am in a panic myself, and I don't know what to do.{nl}I'm sure Luders won't allow this to happen... What should we do?
QUEST_LV_0100_20150317_000027	$Do you think the problem will be resolved just by defeating Sparnas?
QUEST_LV_0100_20150317_000028	$Thanks to your help, I think I can hold myself together.{nl}But... won't this kind of thing happen again? What should I do then...?
QUEST_LV_0100_20150317_000029	$Sparnas? We don't have a clear answer about it.{nl}It just appeared from the sky without any signs and destroyed all the supplies we had. Then, it {nl}quickly disappeared. We got headaches just hearing its cries.
QUEST_LV_0100_20150317_000030	$The place I just talked about is the Second Supply Warehouse.{nl}It is depressing to think how these kinds of things will be recurring in the future.
QUEST_LV_0100_20150317_000031	$Take it. I made some bait from old grains in the supplies.{nl}I will lure it from up there, so you stay here. Sparnas will definitely appear at one of these {nl}two places. Don't let it escape. Destroy it for sure.{nl}
QUEST_LV_0100_20150317_000032	$We may not get a second chance if we don't defeat it this time.{nl}It doesn't seem like they're idiots.
QUEST_LV_0100_20150317_000033	${memo X}I heard the sound of fighting so I came in a hurry. Did you defeat it?{nl}I only spotted the Siaulambs at my spot.{nl}Thank you. You have performed a meritorious deed.
QUEST_LV_0100_20150317_000034	$Adjutant General Paulina
QUEST_LV_0100_20150317_000035	$We should recover the stolen supplies.{nl}We can't call ourselves soldiers of the kingdom if we don't do anything about it.{nl}
QUEST_LV_0100_20150317_000036	$The stolen supplies were taken by the Siaulambs in every Supply Warehouse, {nl}recover the supplies and bring them to Volda.
QUEST_LV_0100_20150317_000037	$I feel so fed up having to endure this all the time. Reinforcements should be coming soon.{nl}But what can we expect from such an incompetent kingdom?
QUEST_LV_0100_20150317_000038	$Adjutant General Volda
QUEST_LV_0100_20150317_000039	$Thank you very much, but you must be late for other matters.{nl}Besides we can't just sit here and wait. We plan to keep attacking.
QUEST_LV_0100_20150317_000040	$Secret Guardian
QUEST_LV_0100_20150317_000041	$The goddess already foresaw this.{nl}Nothing can escape from her vision.
QUEST_LV_0100_20150317_000042	$Liaison Officer Niels
QUEST_LV_0100_20150317_000043	$Hello.{nl}Have you seen an old man who has lost his way?{nl}His name is Jonas.{nl}
QUEST_LV_0100_20150317_000044	$You haven't seen him?{nl}Now, which direction would that feeble old fellow have wandered off towards?
QUEST_LV_0100_20150317_000045	$Jonas is a descendant of the family that has been protecting this Royal Mausoleum.{nl}He is a very important person to our lab team so please take good care of him.
QUEST_LV_0100_20150317_000046	$Archivist Jonas
QUEST_LV_0100_20150317_000047	$Our family has been waiting for you for a long time.{nl}It is time to give you something that we have been protecting for quite a while.
QUEST_LV_0100_20150317_000048	$It is good to hear that Jonas has regained his consciousness.{nl}You are the person who casted the light signal, right?{nl}
QUEST_LV_0100_20150317_000049	$Ahylas has come to meet whoever lit the signal.{nl}Meet him downstairs.
QUEST_LV_0100_20150317_000050	$We haven't heard any news from Kepeck for a long time, not since we sent him supplies.{nl}We don't have enough people to form a search team, so please help us find him.
QUEST_LV_0100_20150317_000051	$Historian Viode
QUEST_LV_0100_20150317_000052	$Always be prepared for monster attacks.{nl}Especially in places like here.
QUEST_LV_0100_20150317_000053	$Mercenary Mirta
QUEST_LV_0100_20150317_000054	}Didn't I already warn you?{nl}Be careful next time.
QUEST_LV_0100_20150317_000055	$Historian Kepeck
QUEST_LV_0100_20150317_000056	$Niels must have sent you.{nl}Well, since you're in a hurry, document it yourself and take it back to Niels.
QUEST_LV_0100_20150317_000057	$If you go straight, take the road to your right and cross the bridge, {nl}you will see the artifacts of the Great King Zachariel.{nl}Archive them and take it back to Niels. He will understand.
QUEST_LV_0100_20150317_000058	$So these are Kepeck's notes... Mercenary Mirta was looking for this.{nl}You helped confirm the safety of two individuals. Thank you for your efforts.
QUEST_LV_0100_20150317_000059	$Ahylas Jonas
QUEST_LV_0100_20150317_000060	${memo X}Now take the unsealing stone and go to Broken Pillar Canyon. {nl}The Disciple of Gustas will teach you how to release the seal there.
QUEST_LV_0100_20150317_000061	${memo X}Were you not guided yet?{nl}Take it to the Disciple of Gustas in Broken Pillar Canyon.{nl}It is made to let only the chosen one enter.
QUEST_LV_0100_20150317_000062	$Disciple of Gustas
QUEST_LV_0100_20150317_000063	$Did you release the seal of Pagasa Cliff?{nl}You have to start from that seal.
QUEST_LV_0100_20150317_000064	$Words engraved into a rock
QUEST_LV_0100_20150317_000065	$Do not touch or push the rock.
QUEST_LV_0100_20150317_000066	$I was waiting for you.{nl}The next seal is located on the way to the Collapsed Sanctum.
QUEST_LV_0100_20150317_000067	$You don't know how eagerly we have waited for this moment.{nl}We really wanted to meet you.
QUEST_LV_0100_20150317_000068	$Gustas Jonas
QUEST_LV_0100_20150317_000069	$It's you.{nl}You are much more gallant than what I had imagined.
QUEST_LV_0100_20150317_000070	$Soldier Alan
QUEST_LV_0100_20150317_000071	$Are you the new recruit?{nl}I received a patrolling order, but I guess you can go my behalf.
QUEST_LV_0100_20150317_000072	$You're good for a newbie.{nl}I have a memory of something horrible happening there once, so I don't want to go.
QUEST_LV_0100_20150317_000073	$I'm remembering something...
QUEST_LV_0100_20150317_000074	}You know that we are dispatched here to defeat Gaigalas, right?{nl}Rookie. Can you take this report to Commander Wallace?
QUEST_LV_0100_20150317_000075	$Commander Wallace
