QUEST_LV_0200_20150317_000001	필리파스 직속 부대원
QUEST_LV_0200_20150317_000002	몬스터의 공격이 점점 더 거세집니다.{nl}각오는 되어 있지만, 그래도 두렵습니다.
QUEST_LV_0200_20150317_000003	내일 죽을 몸이라면 오늘 목숨을 바쳐도 상관없습니다.
QUEST_LV_0200_20150317_000004	지휘관 바세닌
QUEST_LV_0200_20150317_000005	열악한 보급과 병력을 어떻게든 해결 해야해.{nl}역시 카틴 숲을 한 지점씩 모아서 돌파하는 게 좋을까.
QUEST_LV_0200_20150317_000006	다들 힘들어하고 있지만 카틴 숲을 온전히 되찾을 때 까진 포기할 수 없네.
QUEST_LV_0200_20150317_000007	선임장교 필리파스
QUEST_LV_0200_20150317_000008	나는 평화로운 세상을 원하네.{nl}그러기 위해선 내가 더욱 분발해야겠지.
QUEST_LV_0200_20150317_000009	몬스터에게 빼앗긴 숲을 되찾기 위해선 뭐든 할 겁니다.{nl}목숨을 걸 가치는 충분합니다.
QUEST_LV_0200_20150317_000010	저희 전방 부대는 필리파스님의 전속 부대로 이루어져 있습니다.{nl}필리파스님의 명령이라면 불구덩이 속이라도 따라갈 겁니다.
QUEST_LV_0200_20150317_000011	언제나 지금이 마지막일지도 모른다는 생각으로 살아가고 있습니다.{nl}품 안에 항상 지니고 있는 유서가 바로 저희들의 각오입니다.
QUEST_LV_0200_20150317_000012	장교 필릭스
QUEST_LV_0200_20150317_000013	카틴 숲 입구는 그나마 안전한 편이지만 이 이상 깊숙히 들어가는 건 왠간하면 포기하시오.
QUEST_LV_0200_20150317_000014	약한 부엉이 조각상
QUEST_LV_0200_20150317_000015	제 힘은 점점 약해지고 있어요.{nl}아직도 인도해야 할 영혼이 많은데..
QUEST_LV_0200_20150317_000016	두려운 부엉이 조각상
QUEST_LV_0200_20150317_000017	숲의 신성한 힘이 약해지고 있어요.{nl}이젠 정말 어찌 되려나..
QUEST_LV_0200_20150317_000018	너무 무서워요.{nl}여신께서 계실 땐 이런 일은 없었는데..
QUEST_LV_0200_20150317_000019	성실한 대장 부엉이
QUEST_LV_0200_20150317_000020	이 숲은 부엉이를 잡아 먹는 무시무시한 숲입니다.{nl}용기만큼 절실한 게 없지요.
QUEST_LV_0200_20150317_000021	거대한 나무가 솟아오르고 나서부터 이 숲은 끔찍하게 변했습니다.{nl}특히 나무뿌리 수정은 바라보고만 있어도 겁이 납니다.
QUEST_LV_0200_20150317_000022	의지의 부엉이 조각상
QUEST_LV_0200_20150317_000023	누군가 또 잡아먹혔나봐요.{nl}제 동료의 기운 하나가 느껴지질 않네요.
QUEST_LV_0200_20150317_000024	여신께서 주신 신성력이 거의 남아있지 않아요.{nl}부서진 다음엔 어떻게 되는 걸까요?{nl}
QUEST_LV_0200_20150317_000025	대장님께서 나누어 주신 힘이에요.{nl}이젠 두려워하지 않을 겁니다.
QUEST_LV_0200_20150317_000026	더 이상 두렵지 않아요.{nl}절대 잡아먹히지 않을 겁니다.
QUEST_LV_0200_20150317_000027	괴로운 부엉이 조각상
QUEST_LV_0200_20150317_000028	하루하루가 정말 고통스러워요.{nl}아마 저도 곧 잡아먹히겠지요.
QUEST_LV_0200_20150317_000029	숲이 점점 사악한 기운으로 물들어가요.{nl}여신께선 어디로 가신 걸까요?
QUEST_LV_0200_20150317_000030	대장님의 마음 잘 받았습니다.{nl}몬스터에게 지지 않도록 힘낼 겁니다.
QUEST_LV_0200_20150317_000031	대장님께서 이렇게 애써주시는데..{nl}여신께서 돌아오실 때까지 절대로 잡아먹히지 않을 거예요.
QUEST_LV_0200_20150317_000032	부하 부엉이3
QUEST_LV_0200_20150317_000033	우리는 항상 이곳에 있지만, 우리를 걱정하시는 여신께서는 어디 계시지?
QUEST_LV_0200_20150317_000034	우리는 인간의 영혼을 위해서만 존재하는 걸까?
QUEST_LV_0200_20150317_000035	병사 도미니크
QUEST_LV_0200_20150317_000036	자리를 사수하라는 명령과 정찰 명령이 동시에 내려왔습니다.{nl}도대체 어떻게 하라는 건지 모르겠네요.
QUEST_LV_0200_20150317_000037	다음엔 어느 쪽이던 좋으니까 소속을 확실히 정해 달라고 꼭 말해야겠어요.{nl}아니다. 줄리안님 쪽이 더 나으려나?
QUEST_LV_0200_20150317_000038	그 정도 몬스터라면 별 문제는 없다고 보고 해도 되겠네요.{nl}참, 혹시 샘슨을 본다면 그만 놀고 정찰이나 하라고 전해주십시오.
QUEST_LV_0200_20150317_000039	전 여길 지킬 테니까 벨투이 교차로까지 순찰을 나가 주십시오.{nl}보고는 나중에 내가 따로따로 하지요.
QUEST_LV_0200_20150317_000040	병사 샘슨
QUEST_LV_0200_20150317_000041	도미니크의 약혼반지를 찾아주세요.{nl}전 임무수행중이라 자리를 비울 수가 없습니다.
QUEST_LV_0200_20150317_000042	대충 비슷한 걸로 사다 줬는데도 저런다니까요?{nl}쪼잔하긴.
QUEST_LV_0200_20150317_000043	이 더러운건 뭐지요?{nl}어라, 안에 반지가 든 건가?
QUEST_LV_0200_20150317_000044	칼이 들어가지도 않고 꺼낼 방법이 없네요.{nl}그렇지. 불로 태워버리면 꺼낼 수 있지 않을까요?
QUEST_LV_0200_20150317_000045	이왕이면 굵지 않은 걸로 가져다 주십시오.
QUEST_LV_0200_20150317_000046	이 정도면 적당하군요.{nl}좋아. 이걸 어떻게 근무 중에 들키지 않고 태울까나.
QUEST_LV_0200_20150317_000047	이쉬시네티 벼랑에 마른 가시 나무가 잔뜩 있을 겁니다.{nl}전 경계 임무 때문에 자리를 비울 수 없으니 이번에도 부탁합니다.
QUEST_LV_0200_20150317_000048	아, 이쉬시네티 벼랑 위쪽이면 몰래 태울 수 있을 겁니다.{nl}제 마지막 부탁입니다. 불 피울 준비만 해 주시면 됩니다.
QUEST_LV_0200_20150317_000049	다신 절대로 남의 결혼식엔 상관 안할 겁니다.
QUEST_LV_0200_20150317_000050	화장실 간다고 하고 몰래 태우지요.{nl}정말 고맙습니다.
QUEST_LV_0200_20150317_000051	병사 폴터
QUEST_LV_0200_20150317_000052	세상에, 명령서엔 이 근처 몬스터를 다 제거하라는군요.{nl}어떻게 저 혼자 이 많은 수를 감당하죠?
QUEST_LV_0200_20150317_000053	저 혼자서 하긴 너무 버거웠어요.{nl}하지만 당신이 도와주신다니 정말 다행이네요.
QUEST_LV_0200_20150317_000054	정말 눈물 날 뻔했어요.{nl}도움을 주셔서 정말 감사합니다.
QUEST_LV_0200_20150317_000055	지휘관 줄리안
QUEST_LV_0200_20150317_000056	정말 고맙군.{nl}괜찮다면, 자네의 힘을 좀 더 빌리고 싶네.{nl}
QUEST_LV_0200_20150317_000057	벨투이 교차로에서 지휘관 오루크 부대를 지원해주지 않겠나?
QUEST_LV_0200_20150317_000058	지휘관 오루크
QUEST_LV_0200_20150317_000059	엄청난 실력이군.{nl}이거 줄리안에게 한잔 사야겠어.
QUEST_LV_0200_20150317_000060	아이언바움을 지켜보면서 든 생각인데. {nl}그 친구 참 대단한 친구야.
QUEST_LV_0200_20150317_000061	오루크 부대는 아이언바움과의 크고 작은 전투로 지쳐 있네.{nl}자네가 힘이 되어 준다면 아주 든든할 걸세.
QUEST_LV_0200_20150317_000062	떠나가는 부엉이 조각상
